date,open,high,low,close,volume,adjusted_close
2021-01-04,271.17,273.27,270.31,271.79,5540979,271.79
2021-01-05,280.55,281.85,277.35,279.6,1557181,279.6
2021-01-06,270.0,270.97,265.25,268.11,4875033,268.11
2021-01-07,272.65,273.73,268.31,271.02,7484470,271.02
2021-01-08,271.36,272.77,266.65,269.71,3921347,269.71
2021-01-11,274.55,276.67,271.85,274.26,9609246,274.26
2021-01-12,276.47,279.09,274.23,276.66,8165796,276.66
2021-01-13,273.59,275.33,272.95,274.14,7260257,274.14
2021-01-14,275.61,276.74,272.54,274.64,8844223,274.64
2021-01-15,276.46,279.76,274.6,277.18,1742106,277.18
2021-01-19,275.93,280.59,275.23,277.91,2630163,277.91
2021-01-20,279.31,282.16,276.98,279.57,7780355,279.57
2021-01-21,273.61,276.48,272.94,274.71,5068649,274.71
2021-01-22,271.44,272.5,267.7,270.1,9835348,270.1
2021-01-25,279.06,280.36,275.88,278.12,9976781,278.12
2021-01-26,276.93,280.66,275.88,278.27,5232492,278.27
2021-01-27,284.52,286.65,282.39,284.52,3649720,284.52
2021-01-28,275.06,277.78,274.72,276.25,1958481,276.25
2021-01-29,280.57,283.97,279.77,281.87,4405369,281.87
2021-02-01,272.19,275.18,271.24,273.21,8962014,273.21
2021-02-02,278.0,280.27,277.75,279.01,7457760,279.01
2021-02-03,280.56,282.79,279.93,281.36,6158172,281.36
2021-02-04,273.32,273.7,270.78,272.24,7970877,272.24
2021-02-05,280.05,282.88,278.52,280.7,5388825,280.7
2021-02-08,281.71,285.27,280.19,282.73,8767700,282.73
2021-02-09,279.53,284.19,277.81,281.0,1927297,281.0
2021-02-10,279.2,282.65,278.59,280.62,4601765,280.62
2021-02-11,275.85,277.36,271.78,274.57,3725823,274.57
2021-02-12,279.29,279.98,276.34,278.16,8890551,278.16
2021-02-16,288.1,289.73,285.33,287.53,7865573,287.53
2021-02-17,274.75,277.53,272.07,274.8,8661319,274.8
2021-02-18,284.64,285.32,279.14,282.23,9328239,282.23
2021-02-19,283.11,283.77,281.49,282.63,7967101,282.63
2021-02-22,288.06,291.53,284.99,288.26,4570997,288.26
2021-02-23,286.45,287.48,283.68,285.58,4106303,285.58
2021-02-24,278.88,280.88,276.62,278.75,2944523,278.75
2021-02-25,277.84,278.7,273.94,276.32,3551592,276.32
2021-02-26,282.2,284.1,279.68,281.89,8026927,281.89
2021-03-01,286.42,288.58,285.3,286.94,4793784,286.94
2021-03-02,288.21,290.5,286.8,288.65,8439548,288.65
2021-03-03,290.54,291.48,287.2,289.34,3323668,289.34
2021-03-04,285.57,289.17,283.55,286.36,4565466,286.36
2021-03-05,277.12,278.37,275.91,277.14,3964359,277.14
2021-03-08,282.31,284.94,278.82,281.88,2871887,281.88
2021-03-09,287.52,289.37,283.39,286.38,3483579,286.38
2021-03-10,288.72,291.66,287.2,289.43,9997224,289.43
2021-03-11,278.25,280.97,277.03,279.0,2638661,279.0
2021-03-12,282.17,283.36,278.42,280.89,1783346,280.89
2021-03-15,291.17,291.6,288.52,290.06,9392476,290.06
2021-03-16,289.34,293.52,287.8,290.66,3902417,290.66
2021-03-17,292.35,292.79,289.39,291.09,3333037,291.09
2021-03-18,285.64,290.62,284.24,287.43,9805292,287.43
2021-03-19,287.18,288.24,284.46,286.35,2701102,286.35
2021-03-22,280.88,282.44,278.9,280.67,8679646,280.67
2021-03-23,282.92,283.62,278.98,281.3,9469835,281.3
